text,size
allocations,0.6931471805599453
reformer,5.545177444479562
globale,1.3862943611198906
voiture,1.3862943611198906
dialogue,0.6931471805599453
etrangeres,1.3862943611198906
biomasse,1.3862943611198906
normale,2.0794415416798357
bataille,1.3862943611198906
votee,0.6931471805599453
continent,2.772588722239781
source,0.6931471805599453
associations,0.6931471805599453
economistes,0.6931471805599453
imposer,0.6931471805599453
rapidite,1.3862943611198906
technologie,0.6931471805599453
publics,1.3862943611198906
creation,1.3862943611198906
possibles,0.6931471805599453
personnalite,0.6931471805599453
totalite,5.545177444479562
72,1.3862943611198906
plaisir,2.0794415416798357
essaie,0.6931471805599453
realisation,1.3862943611198906
prendriez,4.1588830833596715
conseil,1.3862943611198906
travailler,1.3862943611198906
serieusement,0.6931471805599453
uranium,2.772588722239781
application,1.3862943611198906
excusez,2.0794415416798357
acceptable,1.3862943611198906
elements,4.1588830833596715
visite,1.3862943611198906
enjeu,4.1588830833596715
utilisee,0.6931471805599453
interrompre,2.772588722239781
textes,2.772588722239781
apportee,1.3862943611198906
evoquees,0.6931471805599453
ennemi,1.3862943611198906
militaire,3.4657359027997265
evenement,2.0794415416798357
garder,1.3862943611198906
yeux,5.545177444479562
apprendre,2.772588722239781
pointe,1.3862943611198906
promet,1.3862943611198906
difficultes,4.1588830833596715
militaires,5.545177444479562
reunion,0.6931471805599453
fonctionnaires,2.0794415416798357
reponses,1.3862943611198906
mises,2.772588722239781
36,1.3862943611198906
professionnelle,6.238324625039508
connivence,1.3862943611198906
sectaire,1.3862943611198906
actes,1.3862943611198906
dialogue,5.545177444479562
gentil,2.772588722239781
precision,2.772588722239781
humainement,1.3862943611198906
violees,1.3862943611198906
votee,0.69314718055994536
victime,0.6931471805599453
educatif,2.772588722239781
etrangers,6.931471805599453
technologie,0.6931471805599453
obligee,2.0862943611198906
delinquants,1.3862943611198906
rue,0.6931471805599453
ideologie,2.0794415416798357
qualites,1.3862943611198906
juste,4.1588830833596715
entrepreneurs,0.6931471805599453
personnalite,0.6931471805599453
drame,2.0794415416798357
credible,1.3862943611198906
plaisir,2.772588722239781
chinoise,1.3862943611198906
proteger,1.3862943611198906
interrompre,0.6931471805599453
2000,2.0794415416798357
enseignement,5.545177444479562
jeunesse,0.6931471805599453
interdit,1.3862943611198906
felicite,1.3862943611198906
insuffisant,1.3862943611198906
yeux,3.4657359027997265
reunion,0.6931471805599453
donnees,0.6931471805599453
toucher,1.3862943611198906
39,0.6931471805599453
32,1.3862943611198906
36,4.1588830833596715
professionnelle,0.6931471805599453
