text,size
allocations,0.6931471805599453
reformer,5.545177444479562
globale,1.3862943611198906
voiture,1.3862943611198906
dialogue,0.6931471805599453
etrangeres,1.3862943611198906
biomasse,1.3862943611198906
normale,2.0794415416798357
bataille,1.3862943611198906
votee,0.6931471805599453
continent,2.772588722239781
associations,0.6931471805599453
economistes,0.6931471805599453
imposer,0.6931471805599453
rapidite,1.3862943611198906
technologie,0.6931471805599453
publics,1.3862943611198906
creation,1.3862943611198906
possibles,0.6931471805599453
personnalite,0.6931471805599453
72,1.3862943611198906
plaisir,2.0794415416798357
essaie,0.6931471805599453
realisation,1.3862943611198906
travailler,1.3862943611198906
serieusement,0.6931471805599453
uranium,2.772588722239781
enjeu,4.1588830833596715
ennemi,1.3862943611198906
militaire,3.9657359027997265
apprendre,2.772588722239781
promet,1.3862943611198906
difficultes,4.1588830833596715
fonctionnaires,2.0794415416798357
reponses,1.3862943611198906
36,1.3862943611198906
professionnelle,6.238324625039508
italie,1.3862943611198906
fermer,0.6931471805599453
simplifie,0.6931471805599453
remises,0.6931471805599453
veto,2.772588722239781
iran,0.6931471805599453
gouvernez,1.3862943611198906
sauver,0.6931471805599453
civilisation,1.3862943611198906
compatriotes,0.6931471805599453
energies,1.3862943611198906
generation,0.6931471805599453
emprunt,3.4657359027997265
recruter,1.3862943611198906
pardonnez,0.6931471805599453
engagements,1.3862943611198906
decourager,0.6931471805599453
masse,0.6931471805599453
independance,7.6246189861593985
commissariat,1.3862943611198906
choc,2.772588722239781
syndicales,0.6931471805599453
presidence,4.1588830833596715
alarme,0.6931471805599453
africains,1.3862943611198906
creez,1.3862943611198906
colere,0.6931471805599453
fidele,0.6931471805599453
profondeur,0.6931471805599453
autonomie,0.6931471805599453
collectivement,0.6931471805599453
handicapes,0.6931471805599453
morale,0.6931471805599453
modifier,2.0794415416798357
discuteront,0.6931471805599453
electricite,4.852030263919617
recuperer,1.3862943611198906
defaite,0.6931471805599453
debloquer,0.6931471805599453
opportunite,0.6931471805599453
petrole,5.545177444479562
solaire,1.3862943611198906
